legal_status,address,caretaker,date,dbh,plot_size,latitude,longitude,species_english,species_latin,year,Native,Family
DPW Maintained,1488 Dolores St,DPW,08/05/1997,12,6,37.74572728,-122.42472,Canary Island Date Palm,Phoenix canariensis,1997,Exotic,Phoenix
DPW Maintained,862 Guerrero St,Private,08/05/1997,24,3X4,37.75727649,-122.4235094,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,1128 Church St,DPW,08/05/1997,6,3X3,37.7527465,-122.4276369,Southern Magnolia,Magnolia grandiflora,1997,Exotic,Magnolia
DPW Maintained,312 Valencia St,Private,08/05/1997,12,3x3,37.76784969,-122.4222715,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1640 Van Ness Ave,Private,09/05/1997,12,3X3,37.79103722,-122.4222831,Olive Tree,Olea europaea,1997,Exotic,Olea
DPW Maintained,1231 Fulton St,Private,09/05/1997,6,3X3,37.77690963,-122.4371951,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,1160X Oak St,DPW,09/05/1997,6,3X3,37.77307325,-122.4384448,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,2397X Pine St,DPW,09/05/1997,6,3X3,37.78768356,-122.4351991,Mayten,Maytenus boaria,1997,Exotic,Maytenus
DPW Maintained,2375 PINE ST,Private,09/05/1997,2,Width 0ft,37.78770158,-122.4350685,Mayten,Maytenus boaria,1997,Exotic,Maytenus
DPW Maintained,2926 Sacramento St,Private,09/05/1997,3,3X3,37.78889267,-122.4419515,Southern Magnolia,Magnolia grandiflora,1997,Exotic,Magnolia
Permitted Site,5313 Diamond Heights Blvd,Private,12/05/1997,3,2,37.74348733,-122.4371937,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
DPW Maintained,506 Divisadero St,Private,13/05/1997,3,3X3,37.77424867,-122.4375348,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
DPW Maintained,1419 Cortland Ave,Private,13/05/1997,3,3X3,37.73981902,-122.4101399,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
Private,2499X Mendell St,Private,13/05/1997,3,3X3,37.72701563,-122.3936501,Pear Tree,Pyrus spp,1997,Exotic,Pyrus
DPW Maintained,1158X Alemany Blvd,Private,13/05/1997,8,3X6,37.73093736,-122.4303595,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
Permitted Site,300 Divisadero St,Private,13/05/1997,6,3X3,37.7724063,-122.436943,Fairmont Ginkgo,Ginkgo biloba 'Fairmont',1997,Exotic,Ginkgo
DPW Maintained,1799X Armstrong Ave,Private,13/05/1997,2,4x15,37.72806387,-122.3956428,Ornamental Pear Tree 'Chanticleer',Pyrus calleryana 'Chanticleer',1997,Exotic,Pyrus
DPW Maintained,2865X Alemany Blvd,DPW,13/05/1997,12,3X3,37.7123737,-122.4513401,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1295 Evans Ave,Private,14/05/1997,3,3X3,37.7395901,-122.3826818,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
DPW Maintained,1162X Alemany Blvd,Private,14/05/1997,8,3X6,37.73087702,-122.4305748,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,1801 Franklin St,Private,15/05/1997,3,3X3,37.79147574,-122.4243347,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,2566 Alemany Blvd,DPW,15/05/1997,10,3X3,37.71494036,-122.4469131,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,106 Bertha Ln,DPW,16/05/1997,3,3X4,37.73286734,-122.3806219,Olive Tree,Olea europaea,1997,Exotic,Olea
DPW Maintained,1257 Dolores St,Private,16/05/1997,18,3X3,37.74934783,-122.4247649,Red Horse Chestnut,Aesculus x carnea,1997,Exotic,Aesculus
DPW Maintained,1284 Dolores St,DPW,16/05/1997,12,3X2,37.74888655,-122.4250213,Red Horse Chestnut,Aesculus x carnea,1997,Exotic,Aesculus
DPW Maintained,1351X Hudson Ave,DPW,16/05/1997,6,3X4,37.73632028,-122.383645,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,9X Newhall St,DPW,16/05/1997,6,3X3,37.73921895,-122.3778694,Flaxleaf Paperbark,Melaleuca linariifolia,1997,Exotic,Melaleuca
DPW Maintained,1331 Dolores St,Private,19/05/1997,6,3x3,37.74815891,-122.4246507,Red Horse Chestnut,Aesculus x carnea,1997,Exotic,Aesculus
DPW Maintained,917 Fulton St,Private,19/05/1997,6,3X3,37.77753252,-122.4323093,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,920 McAllister St,DPW,19/05/1997,6,4X4,37.77961534,-122.427747,India Hawthorn,Rhaphiolepis indica,1997,Exotic,Rhaphiolepis
DPW Maintained,1550 Evans Ave,DPW,20/05/1997,6,3X3,37.7425543,-122.387307,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
DPW Maintained,1550 Evans Ave,DPW,20/05/1997,6,3X3,37.74258264,-122.3873573,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
Permitted Site,1100X Evans Ave,Private,20/05/1997,6,3x3,37.73776239,-122.3790682,Fairmont Ginkgo,Ginkgo biloba 'Fairmont',1997,Exotic,Ginkgo
DPW Maintained,1100X Evans Ave,DPW,20/05/1997,6,3x3,37.73776239,-122.3790682,Fairmont Ginkgo,Ginkgo biloba 'Fairmont',1997,Exotic,Ginkgo
DPW Maintained,1008 Divisadero St,Private,21/05/1997,3,3X3,37.77896144,-122.4384861,Sycamore: London Plane,Platanus x hispanica,1997,Exotic,Platanus
Permitted Site,5313 Diamond Heights Blvd,Private,21/05/1997,3,3,37.74348733,-122.4371937,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
DPW Maintained,1014 Masonic Ave,Private,21/05/1997,6,3X3,37.77179952,-122.4455568,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
Permitted Site,5343 Diamond Heights Blvd,Private,21/05/1997,3,3X3,37.74295057,-122.4364342,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
Permitted Site,5361 Diamond Heights Blvd,Private,21/05/1997,3,3X3,37.74257371,-122.4360425,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
DPW Maintained,5355 Diamond Heights Blvd,DPW,21/05/1997,3,3X3,37.74269744,-122.4361689,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
DPW Maintained,1495 Evans Ave,DPW,21/05/1997,1,3X3,37.7414458,-122.3859473,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
DPW Maintained,270 Masonic Ave,Private,21/05/1997,12,3X3,37.77902867,-122.4470108,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
DPW Maintained,149 Masonic Ave,DPW,21/05/1997,60,3X3,37.78040325,-122.4476348,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1200X Evans Ave,DPW,21/05/1997,6,3X3,37.73895497,-122.380987,Fairmont Ginkgo,Ginkgo biloba 'Fairmont',1997,Exotic,Ginkgo
DPW Maintained,1703X Sunset Blvd,DPW,22/05/1997,3,10,37.75521989,-122.495186,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,2203X Sunset Blvd,DPW,22/05/1997,3,10,37.74593062,-122.4945629,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,1603X Sunset Blvd,DPW,22/05/1997,3,10,37.75709778,-122.4953518,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,2600X Sunset Blvd,DPW,22/05/1997,3,10,37.73847981,-122.4942918,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,2300X Sunset Blvd,DPW,22/05/1997,3,10,37.74406883,-122.4946824,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,1700X Sunset Blvd,DPW,22/05/1997,12,10,37.75528189,-122.49547,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,1703X Sunset Blvd,DPW,22/05/1997,3,10,37.75521989,-122.495186,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,1803X Sunset Blvd,DPW,22/05/1997,3,10,37.75336688,-122.4950935,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,1603X Sunset Blvd,DPW,22/05/1997,3,10,37.75709778,-122.4953518,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
Permitted Site,999X Potrero Ave,Health Dept,23/05/1997,18,2X4,37.75683229,-122.4066053,Southern Magnolia,Magnolia grandiflora,1997,Exotic,Magnolia
DPW Maintained,1263 Potrero Ave,Private,23/05/1997,18,3X3,37.75217121,-122.4061083,Saint Mary Magnolia,Magnolia grandiflora 'Saint Mary',1997,Exotic,Magnolia
DPW Maintained,111X Gough St,DPW,23/05/1997,12,3X3,37.77428725,-122.422536,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,999X Potrero Ave,Health Dept,23/05/1997,8,3X3,37.75683229,-122.4066053,Southern Magnolia,Magnolia grandiflora,1997,Exotic,Magnolia
DPW Maintained,799X Potrero Ave,DPW,23/05/1997,12,4X4,37.75933308,-122.4068041,Southern Magnolia,Magnolia grandiflora,1997,Exotic,Magnolia
DPW Maintained,1001X Potrero Ave,Health Dept,23/05/1997,3,3X3,37.75498521,-122.4063707,Southern Magnolia,Magnolia grandiflora,1997,Exotic,Magnolia
DPW Maintained,885 Franklin St,Private,26/05/1997,3,4X4,37.78245712,-122.42252,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,1000X Ellis St,Private,26/05/1997,3,3X3,37.78365848,-122.4228418,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,1275X Ellis St,Private,26/05/1997,6,3X3,37.78297771,-122.4270979,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,885 Franklin St,Private,26/05/1997,3,4X4,37.78229151,-122.4224714,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,1823 Divisadero St,Private,26/05/1997,5,2X3,37.78650187,-122.4402522,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
Permitted Site,1150X Steiner St,Police Dept,26/05/1997,3,4X4,37.77984027,-122.4336066,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,2508 Lake St,DPW,27/05/1997,10,3X3,37.78575911,-122.4865445,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,860 Arguello Blvd,Private,28/05/1997,10,3X3,37.77455834,-122.4582843,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,1730 Geary Blvd,Private,28/05/1997,12,3X3,37.78472466,-122.4317402,Yew Pine,Podocarpus macrophyllus,1997,Exotic,Podocarpus
DPW Maintained,1730 Geary Blvd,Private,28/05/1997,11,3X3,37.78469893,-122.4319205,Yew Pine,Podocarpus macrophyllus,1997,Exotic,Podocarpus
DPW Maintained,325 Arguello Blvd,Private,28/05/1997,6,3X3,37.78463386,-122.4592335,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
Permitted Site,1730 Geary Blvd,Private,28/05/1997,13,3X3,37.78440941,-122.4333046,Fern Pine,Afrocarpus gracilior,1997,Exotic,Afrocarpus
DPW Maintained,99X Richardson Ave,DPW,29/05/1997,13,2X2,37.79926318,-122.4457287,Sycamore: London Plane,Platanus x hispanica,1997,Exotic,Platanus
DPW Maintained,2855 Van Ness Ave,DPW,29/05/1997,3,3X3,37.80202607,-122.4248549,Sycamore: London Plane,Platanus x hispanica,1997,Exotic,Platanus
Permitted Site,2168 Bush St,Private,29/05/1997,6,3X3,37.78718054,-122.4329313,Kwanzan Flowering Cherry,Prunus serrulata 'Kwanzan',1997,Exotic,Prunus
DPW Maintained,1834 California St,DPW,29/05/1997,7,3X3,37.79018414,-122.4248281,Siberian Elm,Ulmus pumila,1997,Exotic,Ulmus
Permitted Site,200X Willow St,Private,30/05/1997,12,4X4,37.78341384,-122.4210382,Mayten,Maytenus boaria,1997,Exotic,Maytenus
DPW Maintained,200X Willow St,Private,30/05/1997,12,4X4,37.78333705,-122.4212621,Mayten,Maytenus boaria,1997,Exotic,Maytenus
DPW Maintained,939 Eddy St,DPW,30/05/1997,3,3X3,37.78252579,-122.4230771,Sycamore: London Plane,Platanus x hispanica,1997,Exotic,Platanus
DPW Maintained,1624 Oakdale Ave,DPW,30/05/1997,3,3X3,37.73511676,-122.3909356,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,151X Palm Ave,SFUSD,31/05/1997,6,3x3,37.78210699,-122.4578827,Irish Yew,Taxus baccata,1997,Exotic,Taxus
DPW Maintained,151X Palm Ave,SFUSD,31/05/1997,6,3x3,37.78243315,-122.4579015,Irish Yew,Taxus baccata,1997,Exotic,Taxus
Permitted Site,1963 Sutter St,Private,02/06/1997,3,3X3,37.78611102,-122.4325225,Evergreen Pear,Pyrus kawakamii,1997,Exotic,Pyrus
DPW Maintained,2822X Pine St,DPW,02/06/1997,6,3X3,37.78691773,-122.4423248,Olive Tree,Olea europaea,1997,Exotic,Olea
DPW Maintained,1057 Steiner St,DPW,02/06/1997,12,3X3,37.77918267,-122.4336332,Strawberry Tree,Arbutus unedo,1997,Exotic,Arbutus
Permitted Site,800 Lake St,Private,02/06/1997,3,Width 4ft,37.78660887,-122.4680554,Maidenhair Tree,Ginkgo biloba,1997,Exotic,Ginkgo
Permitted Site,810X Lake St,Private,02/06/1997,6,3X3,37.78659558,-122.4680391,Fairmont Ginkgo,Ginkgo biloba 'Fairmont',1997,Exotic,Ginkgo
Permitted Site,855 Mendell St,Private,02/06/1997,6,3X3,37.73776357,-122.3873155,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,865 Mendell St,DPW,03/06/1997,6,3X3,37.73776622,-122.387418,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,895X Van Ness Ave,DPW,03/06/1997,3,4X4,37.78379351,-122.4211098,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,895X Van Ness Ave,Private,03/06/1997,6,4X4,37.78365001,-122.421102,Sycamore: London Plane,Platanus x hispanica,1997,Exotic,Platanus
DPW Maintained,94 Ardath Ct,DPW,03/06/1997,6,3X4,37.73409046,-122.3818717,Sycamore: London Plane,Platanus x hispanica,1997,Exotic,Platanus
Permitted Site,39 Westbrook Ct,Private,03/06/1997,12,3X4,37.73490345,-122.3822896,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,6599X Geary Blvd,Rec/Park,03/06/1997,3,3X3,37.77976648,-122.4901064,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,895X Van Ness Ave,DPW,03/06/1997,6,4X4,37.78379351,-122.4211098,Sycamore: London Plane,Platanus x hispanica,1997,Exotic,Platanus
DPW Maintained,1961 Sutter St,Private,03/06/1997,3,3X3,37.78609192,-122.4326637,Evergreen Pear,Pyrus kawakamii,1997,Exotic,Pyrus
Permitted Site,1201 Evans Ave,Private,03/06/1997,3,4X4,37.73868884,-122.3810781,Ginkgo: Autumn Gold,Ginkgo biloba 'Autumn Gold',1997,Exotic,Ginkgo
DPW Maintained,2355 Lake St,Private,04/06/1997,5,3X3,37.78567695,-122.4849674,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,1914 Ocean Ave,DPW,04/06/1997,5,3X3,37.72549332,-122.4625275,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,1545 Lake St,DPW,04/06/1997,8,3X3,37.78607353,-122.4763114,Olive Tree,Olea europaea,1997,Exotic,Olea
DPW Maintained,1914 Lake St,Private,04/06/1997,40,3X3,37.78604891,-122.4801588,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
DPW Maintained,825 Ocean Ave,Private,04/06/1997,3,3X3,37.72285163,-122.4502858,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,4808 Mission St,DPW,05/06/1997,10,3X3,37.7210019,-122.4377049,Bronze Loquat,Eriobotrya deflexa,1997,Exotic,Eriobotrya
DPW Maintained,4950 Mission St,DPW,05/06/1997,6,4x4,37.71958771,-122.4388399,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
DPW Maintained,1480 Sutter St,Private,05/06/1997,6,4X4,37.78727659,-122.424504,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,1503X Sunset Blvd,DPW,05/06/1997,3,10,37.75893166,-122.4955965,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
DPW Maintained,1480 Sutter St,Private,05/06/1997,3,4X4,37.78724097,-122.4247474,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,1202X Sunset Blvd,Rec/Park,05/06/1997,3,10,37.76523774,-122.4962099,New Zealand Xmas Tree,Metrosideros excelsa,1997,Exotic,Metrosideros
Permitted Site,810X Turk St,Private,06/06/1997,3,4x4,37.78178525,-122.4225038,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
DPW Maintained,180X Whitney Young Cir,DPW,06/06/1997,6,3X3,37.73587766,-122.38591,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
Permitted Site,888 Turk St,Private,06/06/1997,6,4X4,37.78154614,-122.423836,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
Permitted Site,810X Turk St,Private,06/06/1997,3,4x4,37.78178525,-122.4225038,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
DPW Maintained,1300X Ingalls St,DPW,06/06/1997,18,3X3,37.73067775,-122.382321,Italian Buckthorn,Rhamnus alaternus,1997,Exotic,Rhamnus
DPW Maintained,1575 TURK ST,Private,06/06/1997,7,Width 0ft,37.78010634,-122.4346152,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,1856 Alemany Blvd,Private,06/06/1997,12,3x3,37.72251409,-122.4382608,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,1575 Turk St,Private,06/06/1997,12,3x3,37.77988011,-122.4345342,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,1299X HUDSON AVE,DPW,06/06/1997,3,3X4,37.73410745,-122.3826385,Prospector Elm,Ulmus 'Prospector',1997,Exotic,Ulmus
Permitted Site,1797X Ellis St,Private,10/06/1997,9,3X3,37.78158032,-122.4348875,Small-leaf Tristania 'Elegant',Tristaniopsis laurina 'Elegant',1997,Exotic,Tristaniopsis
DPW Maintained,1275X Ellis St,DPW,10/06/1997,6,3X3,37.78297771,-122.4270979,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,5173 Diamond Heights Blvd,Private,10/06/1997,6,3X3,37.74585695,-122.4400565,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,5177 Diamond Heights Blvd,DPW,10/06/1997,6,3X3,37.7457846,-122.4400582,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,1731 Ellis St,Private,10/06/1997,6,3X3,37.78197677,-122.4346549,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1275X Ellis St,DPW,10/06/1997,6,3X3,37.78297771,-122.4270979,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,343 Gold Mine Dr,DPW,10/06/1997,3,3X3,37.74014416,-122.4386694,Photinia: Chinese photinia,Photinia fraseri,1997,CA Native,Photinia
DPW Maintained,900X Ellis St,DPW,10/06/1997,18,4x4,37.78388578,-122.4210711,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1765X ELLIS ST,DPW,10/06/1997,11,3X3,37.78195872,-122.4352162,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,5177 Diamond Heights Blvd,Private,10/06/1997,6,3X3,37.7457846,-122.4400582,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1295X Laguna St,DPW,10/06/1997,3,3X3,37.78292513,-122.4276596,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
Permitted Site,1111 Laguna St,Private,10/06/1997,3,3x3,37.78128095,-122.4273113,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,211 Industrial St,Private,11/06/1997,20,2X3,37.73853055,-122.4045243,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
DPW Maintained,1691 Laguna St,Private,11/06/1997,3,4X4,37.78642371,-122.4283625,Cherry Plum,Prunus cerasifera,1997,Exotic,Prunus
Permitted Site,2X Industrial St,Private,11/06/1997,24,3X3,37.73997392,-122.3997135,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
Permitted Site,2X Industrial St,Private,11/06/1997,24,3X3,37.73997392,-122.3997135,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
DPW Maintained,830 Laguna St,DPW,11/06/1997,3,4X4,37.7789601,-122.4250781,Photinia: Chinese photinia,Photinia fraseri,1997,CA Native,Photinia
DPW Maintained,1860 Buchanan St,Private,11/06/1997,3,4X4,37.78727061,-122.4300428,Cherry Plum,Prunus cerasifera,1997,Exotic,Prunus
Permitted Site,2X Industrial St,Private,11/06/1997,24,3X3,37.73997392,-122.3997135,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
DPW Maintained,1 Industrial St,Private,11/06/1997,8,3X3,37.73966994,-122.4004789,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
Permitted Site,2X Industrial St,Private,11/06/1997,24,3X3,37.73997392,-122.3997135,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
DPW Maintained,211 Industrial St,DPW,11/06/1997,35,3X3,37.73851155,-122.4046047,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
DPW Maintained,1200 Dolores St,DPW,12/06/1997,12,3X3,37.7500393,-122.4251407,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1997,Exotic,Ficus
DPW Maintained,120 Turquoise Way,Private,12/06/1997,16,1X1,37.74352201,-122.4433978,Cherry Plum,Prunus cerasifera,1997,Exotic,Prunus
Permitted Site,972 Chenery St,Private,12/06/1997,6,3x3,37.73552018,-122.4381216,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,2555 Diamond St,Private,12/06/1997,11,3X3,37.73806917,-122.434586,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1147 Dolores St,DPW,12/06/1997,12,4X4,37.75100309,-122.4249352,Southern Magnolia,Magnolia grandiflora,1997,Exotic,Magnolia
DPW Maintained,60 Turquoise Way,DPW,12/06/1997,3,3X3,37.74547707,-122.4464981,Ornamental Pear: Bradford,Pyrus calleryana 'Bradford',1997,Exotic,Pyrus
DPW Maintained,106 Sanchez St,Private,12/06/1997,6,3X3,37.76747056,-122.4312652,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,401X Keith St,DPW,13/06/1997,6,3x3,37.73843276,-122.3811466,Red Flowering Gum,Corymbia ficifolia,1997,Exotic,Corymbia
DPW Maintained,401X Keith St,DPW,13/06/1997,6,3x3,37.73847338,-122.3811016,Red Flowering Gum,Corymbia ficifolia,1997,Exotic,Corymbia
DPW Maintained,1868 Alemany Blvd,DPW,13/06/1997,12,3X3,37.72227692,-122.4384059,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
DPW Maintained,401X Keith St,DPW,13/06/1997,12,3X3,37.73828383,-122.3812845,Coppertone Loquat,Eriobotrya deflexa 'Coppertone',1997,Exotic,Eriobotrya
DPW Maintained,1625X Geary Blvd,DPW,16/06/1997,6,3X3,37.78457904,-122.429894,Yarwood Sycamore,Platanus x hispanica 'Yarwood',1997,Exotic,Platanus
Permitted Site,1300X Eddy St,Private,17/06/1997,0,4X4,37.78206203,-122.4296075,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,308 Laidley St,Private,17/06/1997,12,Width 3ft,37.73762704,-122.4285283,Cajeput,Melaleuca quinquenervia,1997,Exotic,Melaleuca
Permitted Site,1632 Eddy St,Private,17/06/1997,12,4X4,37.78125768,-122.4345409,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1300X Eddy St,Private,17/06/1997,3,4X4,37.78186746,-122.4294045,Hybrid Strawberry Tree,Arbutus 'Marina',1997,Exotic,Arbutus
DPW Maintained,1624 EDDY ST,Private,17/06/1997,32,Width 0ft,37.78124874,-122.4341683,Red Flowering Gum,Corymbia ficifolia,1997,Exotic,Corymbia
DPW Maintained,1700X Eddy St,DPW,17/06/1997,12,4X4,37.78107091,-122.4356792,Mayten,Maytenus boaria,1997,Exotic,Maytenus
DPW Maintained,700X Laguna St,Private,18/06/1997,3,3X3,37.77753192,-122.4264128,Weeping Bottlebrush,Callistemon viminalis,1997,Exotic,Callistemon
DPW Maintained,1200 Eddy St,DPW,18/06/1997,6,3X3,37.78219682,-122.4283587,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1865 Eddy St,DPW,18/06/1997,6,4X4,37.78025101,-122.437837,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,1831 Eddy St,DPW,18/06/1997,6,4x4,37.78068008,-122.4377591,Brisbane Box,Lophostemon confertus,1997,Exotic,Lophostemon
DPW Maintained,999 Laguna St,Private,18/06/1997,6,4X4,37.78007243,-122.427057,Weeping Bottlebrush,Callistemon viminalis,1997,Exotic,Callistemon
DPW Maintained,470 Fulton St,DPW,19/06/1997,36,3X3,37.7786332,-122.4249279,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,530 Francisco St,DPW,19/06/1997,6,4X4,37.80468743,-122.4139578,Coppertone Loquat,Eriobotrya deflexa 'Coppertone',1997,Exotic,Eriobotrya
DPW Maintained,1134 Masonic Ave,Private,19/06/1997,18,4X4,37.77067176,-122.4453256,Blackwood Acacia,Acacia melanoxylon,1997,Exotic,Acacia
DPW Maintained,420 Fulton St,DPW,19/06/1997,10,4x4,37.77878218,-122.4237359,Victorian Box,Pittosporum undulatum,1997,Exotic,Pittosporum
DPW Maintained,530 Francisco St,DPW,19/06/1997,3,4X4,37.80468743,-122.4139578,Australian Willow,Geijera parviflora,1997,Exotic,Geijera
DPW Maintained,1900X San Jose Ave,DPW,20/06/1997,3,3X3,37.72546044,-122.4427772,Swamp Myrtle,Tristaniopsis laurina,1997,Exotic,Tristaniopsis
