legal_status,address,caretaker,date,dbh,plot_size,latitude,longitude,species_english,species_latin,year,Native,Family
DPW Maintained,1526 Kirkwood Ave,Private,19/06/1972,30,4x4,37.73745022,-122.3885432,Red Flowering Gum,Corymbia ficifolia,1972,Exotic,Corymbia
Permitted Site,1260 08th Ave,Private,20/06/1972,20,3x3,37.76483179,-122.4652071,Red Flowering Gum,Corymbia ficifolia,1972,Exotic,Corymbia
DPW Maintained,4235 24th St,Private,26/06/1972,16,Width 3ft,37.75105581,-122.4371598,Myoporum,Myoporum laetum,1972,Exotic,Myoporum
Permitted Site,191 Caselli Ave,Private,03/07/1972,10,3x3,37.75950902,-122.4428017,Cherry Plum,Prunus cerasifera,1972,Exotic,Prunus
Permitted Site,44 Hugo St,Private,10/07/1972,16,Width 4ft,37.76536309,-122.4586744,Olive Tree,Olea europaea,1972,Exotic,Olea
Permitted Site,45 Hugo St,Private,10/07/1972,14,Width 4ft,37.76525712,-122.4583955,Olive Tree,Olea europaea,1972,Exotic,Olea
DPW Maintained,329 Mississippi St,Private,12/07/1972,13,7x6,37.76212531,-122.3944438,American Sweet Gum,Liquidambar styraciflua,1972,Exotic,Liquidambar
DPW Maintained,38 Maddux Ave,Private,18/07/1972,12,3x3,37.73464511,-122.3983631,Lemon Bottlebrush,Callistemon citrinus,1972,Exotic,Callistemon
Permitted Site,301 Hugo St,Private,19/07/1972,12,3x3,37.7651366,-122.4610503,Mayten,Maytenus boaria,1972,Exotic,Maytenus
Permitted Site,1237 02nd Ave,Private,24/07/1972,16,3x3,37.76552329,-122.4589859,Olive Tree,Olea europaea,1972,Exotic,Olea
Permitted Site,290x BLANKEN AVE,Private,27/07/1972,14,3x3,37.71155023,-122.3993765,Victorian Box,Pittosporum undulatum,1972,Exotic,Pittosporum
DPW Maintained,376 Missouri St,Private,31/07/1972,24,7x9,37.76162189,-122.3965377,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1972,Exotic,Ficus
DPW Maintained,846 37th Ave,Private,31/07/1972,14,6x9,37.77296897,-122.4970392,New Zealand Xmas Tree,Metrosideros excelsa,1972,Exotic,Metrosideros
DPW Maintained,455 Arkansas St,Private,31/07/1972,11,3x3,37.76038145,-122.3981608,Lemon Bottlebrush,Callistemon citrinus,1972,Exotic,Callistemon
DPW Maintained,300 Wheeler Ave,Private,04/08/1972,24,3x5,37.71172664,-122.4000325,Red Flowering Gum,Corymbia ficifolia,1972,Exotic,Corymbia
DPW Maintained,198 Nueva Ave,Private,09/08/1972,7,3x3,37.71132839,-122.397397,Dracena Palm,Cordyline australis,1972,Exotic,Cordyline
Permitted Site,363 San Benito Way,Private,10/08/1972,13,4x6,37.72987229,-122.4672836,Brazilian Pepper,Schinus terebinthifolius,1972,Exotic,Schinus
