tree_id,latitude,longitude,caretaker,species_latin,species_english,year,Native
93928,37.71731419,-122.4805014,Private,Pinus Spp,Pine Spp,2010,Exotic
42156,37.77752468,-122.4801789,Private,Prunus cerasifera,Cherry Plum,2010,Exotic
31574,37.75256073,-122.4795053,Private,Tristaniopsis laurina,Swamp Myrtle,2010,Exotic
12772,37.78593527,-122.479364,Private,Lophostemon confertus,Brisbane Box,2010,Exotic
94326,37.78120084,-122.4793598,Private,Eriobotrya deflexa,Bronze Loquat,2010,Exotic
94605,37.77883507,-122.4793489,Private,Prunus cerasifera,Cherry Plum,2010,Exotic
68939,37.77872852,-122.4793472,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
93939,37.75424808,-122.4788703,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
94148,37.7809909,-122.4784372,Private,Prunus cerasifera,Cherry Plum,2010,Exotic
31749,37.74167355,-122.4776611,Private,Tristaniopsis laurina,Swamp Myrtle,2010,Exotic
46655,37.78323248,-122.4773598,Private,Olea europaea,Olive Tree,2010,Exotic
94825,37.76443718,-122.4762892,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
93937,37.77984844,-122.4761985,Private,Arbutus unedo,Strawberry Tree,2010,Exotic
94437,37.72039694,-122.4756048,Private,Platanus x hispanica,Sycamore: London Plane,2010,Exotic
94155,37.75311021,-122.4754627,Private,Eriobotrya deflexa,Bronze Loquat,2010,Exotic
68218,37.78362385,-122.4754004,Private,Ulmus parvifolia,Chinese Elm,2010,Exotic
93931,37.72074898,-122.4753421,Private,Pinus Spp,Pine Spp,2010,Exotic
93932,37.72074898,-122.4753421,Private,Pinus Spp,Pine Spp,2010,Exotic
94823,37.76461756,-122.4752293,Private,Ginkgo biloba 'Autumn Gold',Ginkgo: Autumn Gold,2010,Exotic
64085,37.74314507,-122.4751489,Private,Laurus nobilis,Sweet Bay: Grecian Laurel,2010,Exotic
82800,37.75161979,-122.4751304,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
94168,37.74875796,-122.4750349,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
94169,37.74875796,-122.4750349,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
94170,37.74875796,-122.4750349,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
94171,37.74875796,-122.4750349,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
94824,37.76201961,-122.4750093,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
37607,37.77898614,-122.474906,Private,Maytenus boaria,Mayten,2010,Exotic
37608,37.77893222,-122.4748989,Private,Maytenus boaria,Mayten,2010,Exotic
48019,37.74828239,-122.4748984,Private,Olea europaea,Olive Tree,2010,Exotic
94085,37.74304482,-122.4748381,Private,Melaleuca quinquenervia,Cajeput,2010,Exotic
94156,37.74732229,-122.4747626,Private,Tristaniopsis laurina,Swamp Myrtle,2010,Exotic
93854,37.75612783,-122.4745562,Private,Laurus nobilis,Sweet Bay: Grecian Laurel,2010,Exotic
94153,37.74988178,-122.4741636,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
84301,37.75007935,-122.4741289,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94822,37.76252233,-122.4740071,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94154,37.74847839,-122.4737682,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
50908,37.74462902,-122.4737476,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94151,37.75579445,-122.4735831,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
94152,37.7493159,-122.4730484,Private,Prunus cerasifera 'Krauter vesuvius',Purple Leaf Plum Krauter Vesuvius,2010,Exotic
50883,37.75132075,-122.4729593,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94821,37.76119052,-122.4727493,Private,Agonis flexuosa,Peppermint Willow,2010,Exotic
56557,37.73545922,-122.4725304,Private,Magnolia grandiflora 'Saint Mary',Saint Mary Magnolia,2010,Exotic
93720,37.74445069,-122.472429,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
69273,37.75268004,-122.4721049,Private,Maytenus boaria,Mayten,2010,Exotic
84227,37.75331826,-122.4719666,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
81831,37.74411674,-122.4715087,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
47995,37.73964683,-122.4710135,Private,Rhamnus alaternus,Italian Buckthorn,2010,Exotic
47994,37.73964683,-122.4710135,Private,Rhamnus alaternus,Italian Buckthorn,2010,Exotic
94164,37.75828061,-122.4708317,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
69084,37.76131941,-122.4705083,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94709,37.77428814,-122.4703258,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
94702,37.77601653,-122.4702926,Private,Tristaniopsis laurina,Swamp Myrtle,2010,Exotic
69086,37.76075536,-122.4702887,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94703,37.77585638,-122.4702782,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94704,37.77565072,-122.4702616,Private,Geijera parviflora,Australian Willow,2010,Exotic
94708,37.77523329,-122.470235,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
94705,37.77551313,-122.4701701,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
94701,37.7839526,-122.4699446,Private,Olea europaea,Olive Tree,2010,Exotic
78176,37.78371647,-122.4699349,Private,Olea europaea,Olive Tree,2010,Exotic
94700,37.78526079,-122.4698714,Private,Maytenus boaria,Mayten,2010,Exotic
94820,37.76513096,-122.469747,Private,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,2010,Exotic
67736,37.76452769,-122.4696562,Private,Pittosporum undulatum,Victorian Box,2010,Exotic
94362,37.77864179,-122.4696177,Private,Pittosporum undulatum,Victorian Box,2010,Exotic
94149,37.76083983,-122.4694913,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
80215,37.75519226,-122.4693377,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94841,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94840,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94846,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94844,37.75939604,-122.4692603,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
